"id","name","english_label"
1,"TOEIC","mansion"
2,"TOEIC","poisoning"
3,"TOEIC","importer"
4,"TOEIC","fossil fuels"
5,"TOEIC","fiery"
6,"TOEIC","bilaterally"
7,"TOEIC","emergence"
8,"TOEIC","terrible"
9,"TOEIC","nationalism"
10,"TOEIC","knob"
11,"TOEIC","recollect"
12,"TOEIC","volcano"
13,"TOEIC","high-profile"
14,"TOEIC","rage"
15,"TOEIC","apportion"
16,"TOEIC","shining"
17,"TOEIC","citizenship"
18,"TOEIC","sleeper"
19,"TOEIC","space"
20,"TOEIC","clockwork"
21,"TOEIC","itemize"
22,"TOEIC","swelling"
23,"TOEIC","persuasive"
24,"TOEIC","responsive"
25,"TOEIC","squash"
26,"TOEIC","partake"
27,"TOEIC","initial"
28,"TOEIC","low pressure"
29,"TOEIC","run into"
30,"TOEIC","storage"
31,"TOEIC","put down"
32,"TOEIC","auction"
33,"TOEIC","embassy"
34,"TOEIC","liable for"
35,"TOEIC","alarming"
36,"TOEIC","ledge"
37,"TOEIC","stylistic"
38,"TOEIC","mobility"
39,"TOEIC","synergy"
40,"TOEIC","applicant"
41,"TOEIC","quest"
42,"TOEIC","feedback"
43,"TOEIC","wring"
44,"TOEIC","rely on"
45,"TOEIC","lorry"
46,"TOEIC","teller"
47,"TOEIC","spreadsheet"
48,"TOEIC","plain"
49,"TOEIC","wrong number"
50,"TOEIC","wanderer"
51,"TOEIC","canteen"
52,"TOEIC","dreamy"
53,"TOEIC","describe"
54,"TOEIC","spin off"
55,"TOEIC","defer"
56,"TOEIC","ancestry"
57,"TOEIC","scornful"
58,"TOEIC","market share"
59,"TOEIC","penthouse"
60,"TOEIC","exhibition"
61,"TOEIC","wintertime"
62,"TOEIC","hub"
63,"TOEIC","jewelry"
64,"TOEIC","capsule"
65,"TOEIC","expressive"
66,"TOEIC","behold"
67,"TOEIC","allied"
68,"TOEIC","tendency"
69,"TOEIC","socialism"
70,"TOEIC","temporarily"
71,"TOEIC","handy"
72,"TOEIC","breathless"
73,"TOEIC","debate"
74,"TOEIC","middle-range"
75,"TOEIC","high tide"
76,"TOEIC","aerospace"
77,"TOEIC","sip"
78,"TOEIC","punishment"
79,"TOEIC","courteous"
80,"TOEIC","statistical"
81,"TOEIC","issue"
82,"TOEIC","abolition"
83,"TOEIC","forex"
84,"TOEIC","existent"
85,"TOEIC","inability"
86,"TOEIC","ceremonial"
