"id","english_label"
9501,"justice"
9502,"export"
9503,"endure"
9504,"prejudice"
9505,"raw"
9506,"permit"
9507,"tradition"
9508,"molecule"
9509,"appeal"
9510,"passage"
9511,"quantity"
9512,"ready"
9513,"loan"
9514,"overall"
9515,"trust"
9516,"classify"
9517,"theory"
9518,"stimulate"
9519,"atmosphere"
9520,"companion"
9521,"emergency"
9522,"humorous"
9523,"boundary"
9524,"contrary"
9525,"diversity"
9526,"rush"
9527,"empty"
9528,"aim"
9529,"waste"
9530,"treat"
9531,"instrument"
9532,"prison"
9533,"tear"
9534,"lawyer"
9535,"worry"
9536,"apparent"
9537,"doubt"
9538,"plain"
9539,"crucial"
9540,"biological"
9541,"launch"
9542,"postpone"
9543,"raise"
9544,"quarter"
9545,"exact"
9546,"fluent"
9547,"bond"
9548,"resource"
9549,"distinct"
9550,"labor"
9551,"narrow"
9552,"swing"
9553,"shelter"
9554,"spiritual"
9555,"steady"
9556,"disappoint"
9557,"nation"
9558,"harm"
9559,"hell"
9560,"belong"
9561,"invite"
9562,"beverage"
9563,"common"
9564,"square"
9565,"result"
9566,"tiny"
9567,"nutrition"
9568,"tissue"
9569,"taste"
9570,"enormous"
9571,"contract"
9572,"overwhelm"
9573,"protest"
9574,"marry"
9575,"recent"
9576,"deliver"
9577,"legal"
9578,"skill"
9579,"assist"
9580,"impress"
9581,"rare"
9582,"secure"
9583,"factor"
9584,"confront"
9585,"responsible"
9586,"experience"
9587,"leap"
9588,"male"
9589,"priority"
9590,"landscape"
9591,"defend"
9592,"seal"
9593,"recover"
9594,"contain"
9595,"stream"
9596,"fuel"
9597,"typical"
9598,"investigate"
9599,"tale"
9600,"pile"
9601,"distant"
9602,"protein"
9603,"experiment"
9604,"include"
9605,"respond"
9606,"brief"
9607,"anxious"
9608,"operate"
9609,"lean"
9610,"region"
9611,"concern"
9612,"research"
9613,"bill"
9614,"attitude"
9615,"examine"
9616,"environment"
9617,"expensive"
9618,"scare"
9619,"devote"
9620,"import"
9621,"individual"
9622,"alter"
9623,"huge"
9624,"praise"
9625,"expense"
9626,"favor"
9627,"artistic"
9628,"wealth"
9629,"trouble"
9630,"effect"
9631,"principal"
9632,"murder"
9633,"rapid"
9634,"progress"
9635,"detail"
9636,"cosmetic"
9637,"political"
9638,"ecology"
9639,"rude"
9640,"depend"
9641,"author"
9642,"beat"
9643,"shake"
9644,"fulfill"
9645,"track"
9646,"lend"
9647,"elite"
9648,"rate"
9649,"annoy"
9650,"imitate"
9651,"remove"
9652,"virtual"
9653,"extraordinary"
9654,"slight"
9655,"approach"
9656,"heaven"
9657,"ethnic"
9658,"period"
9659,"correct"
9660,"task"
9661,"odd"
9662,"grip"
9663,"category"
9664,"desert"
9665,"proper"
9666,"pour"
9667,"species"
9668,"grant"
9669,"reduce"
9670,"initial"
9671,"willingly"
9672,"nationality"
9673,"chase"
9674,"primitive"
9675,"trade"
9676,"survey"
9677,"tropical"
9678,"harvest"
9679,"illustrate"
