"id","english_label"
8001,"chimera"
8002,"hegemony"
8003,"biocide"
8004,"hedonist"
8005,"buttress"
8006,"artlessness"
8007,"prognosis"
8008,"inadvertence"
8009,"indigestion"
8010,"gross"
8011,"errant"
8012,"incursion"
8013,"occult"
8014,"bulge"
8015,"admonitory"
8016,"boorish"
8017,"proscribe"
8018,"apprise"
8019,"blandness"
8020,"conscript"
8021,"confound"
8022,"lighthearted"
8023,"infinity"
8024,"indigent"
8025,"referendum"
8026,"improbity"
8027,"carcinogenic"
8028,"craven"
8029,"necromancy"
8030,"indigence"
8031,"allegiance"
8032,"salubrious"
8033,"manipulative"
8034,"tact"
8035,"regress"
8036,"churlishness"
8037,"precept"
8038,"tardy"
8039,"serenity"
8040,"ruffle"
8041,"plumb"
8042,"covert"
8043,"seamy"
8044,"precursory"
8045,"repulsion"
8046,"substantiation"
8047,"solvent"
8048,"diversion"
8049,"feint"
8050,"magnify"
8051,"scant"
8052,"decry"
8053,"collective"
8054,"boast"
8055,"delineate"
8056,"gruesome"
8057,"sibling"
8058,"steep"
8059,"squirrel"
8060,"shallow"
8061,"saline"
8062,"chaste"
8063,"pendant"
8064,"parallel"
8065,"besiege"
8066,"vagrant"
8067,"vocal cords"
8068,"bailout"
8069,"meek"
8070,"antibody"
8071,"acrimonious"
8072,"stagger"
8073,"geyser"
8074,"probable"
8075,"apogee"
8076,"deride"
8077,"communal"
8078,"wrench"
8079,"collateral"
8080,"slick"
8081,"affluence"
8082,"pathos"
8083,"forgo"
8084,"graphic"
8085,"embed"
8086,"adherent"
8087,"engross"
8088,"wrangle"
8089,"hive"
8090,"antagonistic"
8091,"allude"
8092,"circumscribe"
8093,"ceremonious"
8094,"propagate"
8095,"trappings"
8096,"ubiquitous"
8097,"cache"
8098,"irrepressible"
8099,"blackout"
8100,"carnivorous"
8101,"dispel"
8102,"nursery"
8103,"distend"
8104,"slough"
8105,"cynical"
8106,"dormitory"
8107,"aptitude"
8108,"ancillary"
8109,"gallery"
8110,"pliable"
8111,"purport"
8112,"fervent"
8113,"bountiful"
8114,"disband"
8115,"epicenter"
8116,"severance"
8117,"hindmost"
8118,"bilateral"
8119,"relentless"
8120,"fraudulent"
8121,"cerebral"
8122,"shatter"
8123,"epic"
8124,"colloquial"
8125,"alienate"
8126,"vicarious"
8127,"glossy"
8128,"opulent"
8129,"actuate"
8130,"amble"
8131,"mill"
8132,"plea"
8133,"resort"
8134,"aroma"
