"id","english_label"
2501,"capitalism"
2502,"mentor"
2503,"dolphin"
2504,"delete"
2505,"telecommunications"
2506,"humanist"
2507,"gallery"
2508,"unequal"
2509,"collapse"
2510,"grandpa"
2511,"dictator"
2512,"encounter"
2513,"deal"
2514,"mammal"
2515,"fluency"
2516,"crater"
2517,"economics"
2518,"injustice"
2519,"comb"
2520,"consciousness"
2521,"discount"
2522,"court"
2523,"idealist"
2524,"hawk"
2525,"identity"
2526,"consume"
2527,"mark"
2528,"daybreak"
2529,"courageous"
2530,"hazard"
2531,"ethics"
2532,"negotiator"
2533,"concept"
2534,"mall"
2535,"goods"
2536,"contest"
2537,"manager"
2538,"considerate"
2539,"crack down"
2540,"immigrate"
2541,"candle"
2542,"latch"
2543,"confuse"
2544,"common sense"
2545,"garlic"
2546,"jellyfish"
2547,"duel"
2548,"framework"
2549,"destroy"
2550,"disclose"
2551,"ginger"
2552,"cosmetic"
2553,"influenza"
2554,"pedestal"
2555,"herb"
2556,"dash"
2557,"legend"
2558,"designate"
2559,"hug"
2560,"genetics"
2561,"coexistence"
2562,"collaborate"
2563,"illusion"
2564,"illuminate"
2565,"magnet"
2566,"grandma"
2567,"jogging"
2568,"enforce"
2569,"mammoth"
2570,"animate"
2571,"circular"
2572,"expose"
2573,"shoelace"
2574,"characteristic"
2575,"admire"
2576,"ironic"
2577,"index"
2578,"geography"
2579,"remark"
2580,"sustain"
2581,"allotment"
2582,"dreadful"
2583,"falcon"
2584,"agreement"
2585,"nomad"
2586,"anonymity"
2587,"leopard"
2588,"practical"
2589,"thumb"
2590,"revolve"
2591,"slim"
2592,"probability"
2593,"stem from"
2594,"chill"
2595,"concession"
2596,"overturn"
2597,"favor"
2598,"controversial"
2599,"legacy"
2600,"be addicted to"
2601,"bring down"
2602,"conviction"
2603,"therapy"
2604,"financial"
2605,"Neptune"
2606,"cosmic"
2607,"politic"
2608,"frontier"
2609,"imaginary"
2610,"dandelion"
2611,"cave"
2612,"justify"
2613,"junk"
2614,"domestic"
2615,"crow"
2616,"statistics"
2617,"compulsion"
2618,"barely"
2619,"dividend"
2620,"up-to-date"
2621,"promote"
2622,"ethnic"
2623,"individual"
2624,"endure"
2625,"spill"
2626,"absorb"
2627,"anarchist"
2628,"pending"
2629,"flaw"
2630,"conclusive"
2631,"fundamental"
2632,"credibility"
2633,"transplant"
2634,"universal"
2635,"plaque"
2636,"brook"
2637,"barley"
