"id","english_label"
5501,"panic"
5502,"mechanical"
5503,"personality"
5504,"philosophy"
5505,"stuff"
5506,"penalty"
5507,"skip"
5508,"faith"
5509,"target"
5510,"thus"
5511,"sincere"
5512,"liberty"
5513,"sociology"
5514,"means"
5515,"mood"
5516,"manner"
5517,"sword"
5518,"gene"
5519,"export"
5520,"pursuit"
5521,"summary"
5522,"fossil"
5523,"focus"
5524,"laboratory"
5525,"historic"
5526,"perspective"
5527,"inform"
5528,"fake"
5529,"gross"
5530,"interest"
5531,"permanent"
5532,"fit"
5533,"judge"
5534,"flaw"
5535,"material"
5536,"relax"
5537,"gender"
5538,"visible"
5539,"shame"
5540,"organize"
5541,"notice"
5542,"pure"
5543,"indirect"
5544,"headline"
5545,"operate"
5546,"suicide"
5547,"nowadays"
5548,"marine"
5549,"private"
5550,"objective"
5551,"input"
5552,"motive"
5553,"instead"
5554,"pardon"
5555,"genetic"
5556,"frame"
5557,"viewpoint"
5558,"trend"
5559,"pioneer"
5560,"garbage"
5561,"participate"
5562,"term"
5563,"merit"
5564,"manufacturer"
5565,"log"
5566,"organized"
5567,"similar"
5568,"partnership"
5569,"situation"
5570,"passion"
5571,"instruction"
5572,"both"
5573,"theory"
5574,"maximum"
5575,"rely"
5576,"feminine"
5577,"technology"
5578,"fluent"
5579,"rather"
5580,"financial"
5581,"gradual"
5582,"experiment"
5583,"presence"
5584,"visual"
5585,"logic"
5586,"sound"
5587,"triangle"
5588,"misunderstand"
5589,"tension"
5590,"scientific"
5591,"search"
5592,"treasure"
5593,"offspring"
5594,"necessary"
5595,"rare"
5596,"retire"
5597,"violent"
5598,"fortune"
5599,"phase"
5600,"military"
5601,"overhead"
5602,"occasional"
5603,"fare"
5604,"share"
5605,"positive"
5606,"mission"
5607,"parasite"
5608,"initiative"
5609,"industry"
5610,"uncover"
5611,"sphere"
5612,"specialize"
5613,"trap"
5614,"select"
5615,"mass"
5616,"insert"
5617,"lasting"
5618,"prospect"
5619,"lawyer"
5620,"crime"
5621,"minority"
5622,"symmetry"
5623,"welfare"
5624,"flexible"
5625,"freeze"
5626,"license"
5627,"span"
5628,"shade"
5629,"tend"
5630,"tissue"
5631,"fantasy"
5632,"gesture"
5633,"harvest"
5634,"profile"
5635,"increase"
5636,"lag"
5637,"method"
5638,"formula"
5639,"graduate"
5640,"fade"
5641,"spare"
5642,"reservation"
5643,"mankind"
5644,"provide"
5645,"lessen"
5646,"nasty"
5647,"nonetheless"
5648,"review"
5649,"insight"
5650,"otherwise"
5651,"obstacle"
5652,"occasion"
5653,"experimental"
5654,"incorrect"
5655,"packet"
5656,"precious"
5657,"regain"
5658,"gallery"
5659,"successive"
5660,"parallel"
5661,"mental"
5662,"fault"
5663,"statesman"
5664,"noted"
5665,"tide"
5666,"limb"
5667,"moist"
5668,"facility"
5669,"prime"
5670,"reef"
5671,"polish"
5672,"gaze"
5673,"gravity"
5674,"fairy"
5675,"meaningful"
5676,"holy"
5677,"bother"
5678,"protein"
5679,"preference"
5680,"nuclear"
5681,"volcano"
5682,"shield"
5683,"identify"
5684,"expand"
5685,"isolated"
5686,"theme"
5687,"moisture"
5688,"minister"
5689,"organ"
5690,"potential"
5691,"nod"
5692,"joint"
5693,"row"
5694,"naked"
5695,"general"
5696,"insure"
5697,"loan"
5698,"jealous"
5699,"sentiment"
5700,"fine"
5701,"immigrant"
5702,"misfortune"
5703,"seldom"
5704,"priority"
5705,"survive"
5706,"various"
5707,"rush"
5708,"rude"
5709,"portray"
5710,"recent"
5711,"molecule"
5712,"tropical"
5713,"whisper"
5714,"output"
5715,"oral"
5716,"incident"
5717,"mayor"
5718,"specific"
5719,"physical"
5720,"likely"
5721,"gathering"
5722,"explore"
5723,"grain"
5724,"minimum"
5725,"globe"
5726,"waste"
5727,"informed"
5728,"feature"
5729,"latter"
5730,"immediate"
5731,"melt"
5732,"prefecture"
5733,"horror"
5734,"scheme"
5735,"humanity"
5736,"perceive"
5737,"handle"
5738,"grip"
5739,"subject"
5740,"neighborhood"
5741,"sacrifice"
5742,"loyal"
5743,"overwhelming"
5744,"fusion"
5745,"illustrate"
5746,"intent"
5747,"dignity"
5748,"blush"
5749,"formation"
5750,"broke"
5751,"fiber"
5752,"dynamic"
5753,"exclaim"
5754,"definite"
5755,"erase"
5756,"deficient"
5757,"collision"
5758,"erect"
5759,"chew"
5760,"congestion"
5761,"concern"
5762,"detailed"
5763,"coward"
5764,"bill"
5765,"decline"
5766,"bless"
5767,"flow"
5768,"costly"
5769,"diminish"
5770,"express"
5771,"discern"
5772,"dormitory"
5773,"designate"
5774,"devise"
5775,"define"
5776,"estate"
5777,"depress"
5778,"detective"
5779,"dedicate"
5780,"compound"
5781,"burglar"
5782,"coincide"
5783,"chamber"
5784,"concrete"
5785,"capital"
5786,"exhibit"
5787,"marked"
5788,"conservative"
5789,"consequence"
5790,"depression"
5791,"chase"
5792,"fragile"
5793,"cruise"
5794,"canal"
5795,"forgive"
5796,"decade"
5797,"flap"
5798,"curriculum"
5799,"disguise"
5800,"dense"
5801,"congress"
5802,"commonplace"
5803,"crush"
5804,"carriage"
5805,"blueprint"
5806,"fancy"
5807,"marvel"
5808,"deprive"
5809,"enrich"
5810,"bribe"
5811,"composed"
5812,"derive"
5813,"beverage"
5814,"commence"
5815,"bold"
5816,"debt"
5817,"litter"
5818,"conscience"
5819,"collective"
5820,"faint"
5821,"detect"
5822,"commerce"
5823,"dominate"
5824,"consequently"
5825,"cattle"
5826,"biology"
5827,"component"
5828,"diameter"
5829,"cluster"
5830,"caring"
5831,"currency"
5832,"disregard"
5833,"distress"
5834,"discharge"
5835,"distinguished"
5836,"chairperson"
5837,"biological"
5838,"external"
5839,"circulation"
5840,"blend"
5841,"emigrate"
5842,"forced"
5843,"bounce"
5844,"encyclopedia"
5845,"lumber"
5846,"subscribe"
5847,"prescription"
5848,"rebel"
5849,"install"
5850,"unite"
5851,"envy"
5852,"confine"
5853,"ease"
5854,"organic"
5855,"foster"
5856,"rent"
5857,"custom"
5858,"recipient"
5859,"plight"
5860,"insult"
5861,"landmark"
5862,"declare"
5863,"province"
5864,"religion"
5865,"cough"
5866,"recess"
5867,"inflict"
5868,"illegal"
5869,"conquer"
5870,"justify"
5871,"integrate"
5872,"corrupt"
5873,"smash"
5874,"offend"
5875,"tuition"
5876,"spectacle"
5877,"enormous"
5878,"statistics"
5879,"extinguish"
5880,"disrupt"
5881,"earnest"
5882,"clap"
5883,"involve"
5884,"obsession"
5885,"release"
5886,"keen"
5887,"brilliant"
5888,"hate"
5889,"exhaust"
5890,"confirm"
5891,"vocabulary"
5892,"virtual"
5893,"heir"
5894,"indifferent"
5895,"proficient"
5896,"gain"
5897,"utility"
5898,"initiate"
5899,"constitution"
5900,"laundry"
5901,"devote"
5902,"revenue"
5903,"find"
5904,"discount"
5905,"renew"
5906,"significant"
5907,"defeat"
5908,"sophisticated"
5909,"spacious"
5910,"confuse"
5911,"agony"
5912,"instrument"
5913,"awful"
5914,"rub"
5915,"burst"
5916,"prosperity"
5917,"shrink"
5918,"migrate"
5919,"obtain"
5920,"arbitrary"
5921,"defend"
5922,"ashamed"
5923,"homogeneous"
5924,"rear"
5925,"riot"
5926,"equivalent"
5927,"pursue"
5928,"cease"
5929,"theft"
5930,"folklore"
5931,"suppose"
5932,"geometry"
5933,"independent"
5934,"flatter"
5935,"manual"
5936,"outlet"
5937,"exceed"
5938,"shave"
5939,"reduce"
5940,"conform"
5941,"mutter"
5942,"distribute"
5943,"devastate"
5944,"quit"
5945,"ordeal"
5946,"congratulate"
5947,"erosion"
5948,"patent"
5949,"vertical"
5950,"solemn"
5951,"spectacular"
5952,"reject"
5953,"furthermore"
5954,"assist"
5955,"ferment"
5956,"assign"
5957,"grace"
5958,"semester"
5959,"irony"
5960,"feast"
5961,"classify"
5962,"praise"
5963,"progress"
5964,"intend"
5965,"coarse"
5966,"shed"
5967,"monotonous"
5968,"premise"
5969,"undertake"
5970,"upset"
5971,"wary"
5972,"unfold"
5973,"persist"
5974,"guilty"
5975,"vow"
5976,"convince"
5977,"credit"
5978,"sober"
5979,"certain"
5980,"allege"
5981,"perform"
5982,"implement"
5983,"esteem"
5984,"spill"
5985,"outcome"
5986,"prompt"
5987,"priest"
5988,"attend"
5989,"prominent"
5990,"repair"
5991,"occur"
5992,"spontaneous"
5993,"possess"
5994,"apply"
5995,"evolve"
5996,"seize"
5997,"soybean"
5998,"dismiss"
5999,"establish"
6000,"innovation"
6001,"cast"
6002,"vary"
6003,"solar"
6004,"plead"
6005,"conflict"
6006,"vein"
6007,"excursion"
6008,"deceive"
6009,"peninsula"
6010,"stray"
6011,"owe"
6012,"medieval"
6013,"valid"
6014,"relevant"
6015,"restrict"
6016,"emerge"
6017,"figure"
6018,"soothe"
6019,"cathedral"
6020,"pronounce"
6021,"surpass"
6022,"specimen"
6023,"imply"
6024,"faculty"
6025,"degree"
6026,"incessant"
6027,"pastime"
6028,"trim"
6029,"slight"
6030,"summon"
6031,"yawn"
6032,"mutual"
6033,"educate"
6034,"ideology"
6035,"realize"
6036,"afford"
6037,"flee"
6038,"contain"
6039,"carve"
6040,"exaggerate"
6041,"warrant"
6042,"agree"
6043,"worsen"
6044,"ranch"
6045,"abuse"
6046,"pain"
6047,"reconcile"
6048,"compete"
6049,"ordinary"
6050,"weary"
6051,"obese"
6052,"public"
6053,"fluid"
6054,"genuine"
6055,"amuse"
6056,"recover"
6057,"liable"
6058,"submit"
6059,"luxury"
6060,"specify"
6061,"wonder"
6062,"expose"
6063,"strive"
6064,"applaud"
6065,"destroy"
6066,"alarm"
6067,"diversity"
6068,"divert"
6069,"vehicle"
6070,"abandon"
6071,"negotiate"
6072,"fetch"
6073,"cohesion"
6074,"fate"
6075,"attempt"
6076,"fertile"
6077,"discard"
6078,"manipulate"
6079,"extreme"
6080,"stall"
6081,"transparent"
6082,"retain"
6083,"undermine"
6084,"proceed"
6085,"plug"
6086,"terrific"
6087,"urban"
6088,"meadow"
6089,"construct"
6090,"reasonable"
6091,"tolerate"
6092,"enclose"
6093,"ridiculous"
6094,"thrive"
6095,"inherit"
6096,"fragment"
6097,"sensible"
6098,"uneasy"
6099,"meanwhile"
6100,"compare"
6101,"pill"
6102,"proverb"
6103,"mention"
6104,"intricate"
6105,"poll"
6106,"nurture"
6107,"fee"
6108,"generous"
6109,"fulfill"
6110,"regret"
6111,"synthesis"
6112,"govern"
6113,"obey"
6114,"quality"
6115,"species"
6116,"counterpart"
6117,"prevent"
6118,"exert"
6119,"compassion"
6120,"refine"
6121,"conventional"
6122,"scold"
6123,"humble"
6124,"civilization"
6125,"haunt"
6126,"attract"
6127,"include"
6128,"profit"
6129,"informal"
6130,"ripe"
6131,"adjust"
6132,"peril"
6133,"humiliate"
6134,"incredible"
6135,"session"
6136,"groan"
6137,"signature"
6138,"fascinate"
6139,"dye"
6140,"lament"
6141,"surgeon"
6142,"ethnic"
6143,"breakthrough"
6144,"suppress"
6145,"restrain"
6146,"punctual"
6147,"treat"
6148,"enforce"
6149,"overtime"
6150,"optimistic"
6151,"persecute"
6152,"legal"
6153,"superficial"
6154,"aesthetic"
6155,"condemn"
6156,"psychiatrist"
6157,"interact"
6158,"exception"
6159,"vacant"
6160,"tear"
6161,"spoil"
6162,"prestige"
6163,"frequency"
6164,"literally"
6165,"timid"
6166,"inhabitant"
6167,"connect"
6168,"competent"
6169,"accuse"
6170,"surge"
6171,"reunion"
6172,"mock"
6173,"blast"
6174,"exposure"
6175,"greenhouse"
6176,"deliver"
6177,"banish"
6178,"weapon"
6179,"grant"
6180,"machinery"
6181,"justice"
6182,"sensitive"
6183,"skyscraper"
6184,"pension"
6185,"seek"
6186,"massive"
6187,"ingenious"
6188,"sustain"
6189,"evidence"
6190,"mend"
6191,"territory"
6192,"employ"
6193,"equation"
6194,"require"
6195,"oppose"
6196,"layer"
6197,"revolution"
6198,"sight"
6199,"persuade"
6200,"exotic"
6201,"emancipate"
6202,"pile"
6203,"native"
6204,"enroll"
6205,"calculate"
6206,"protest"
6207,"convey"
6208,"sum"
6209,"wrinkle"
6210,"pour"
6211,"remedy"
6212,"starve"
6213,"due"
6214,"heal"
6215,"geography"
6216,"describe"
6217,"clarify"
6218,"determine"
6219,"virus"
